0 LOUIS-NB.tsmt.com.tw 000000008aa0a7c8 b8:27:eb:a0:a7:c8 e552d388 200511-173344 0.0.0.0 10.132.10.82
1 raspberrypi 000000008aa0a7c8 b8:27:eb:a0:a7:c8 e552d388 200511-173852 10.132.10.82 10.132.10.82
2 raspberrypi 000000008aa0a7c8 b8:27:eb:a0:a7:c8 e552d388 200511-173908 10.132.10.82 10.132.10.82
3 raspberrypi 000000008aa0a7c8 b8:27:eb:a0:a7:c8 e552d388 200511-174751 10.132.10.82 10.132.10.81
4 raspberrypi 000000008aa0a7c8 b8:27:eb:a0:a7:c8 e552d388 200511-175052 10.132.10.81 10.132.10.82
5 raspberrypi 000000008aa0a7c8 b8:27:eb:a0:a7:c8 e552d388 200511-182257 10.132.10.82 10.132.10.82
6 raspberrypi 000000008aa0a7c8 b8:27:eb:a0:a7:c8 e552d388 200511-182329 10.132.10.82 10.132.10.82
7 raspberrypi 000000008aa0a7c8 b8:27:eb:a0:a7:c8 e552d388 200512-115304 10.132.10.82 10.132.10.82
8 raspberrypi 000000008aa0a7c8 b8:27:eb:a0:a7:c8 e552d388 200512-115616 10.132.10.82 10.132.10.82
9 raspberrypi 000000008aa0a7c8 b8:27:eb:a0:a7:c8 e552d388 200512-181506 10.132.10.82 10.132.10.82
10 raspberrypi 000000008aa0a7c8 b8:27:eb:a0:a7:c8 0157b4a2 200512-181508 10.132.10.82 10.132.10.82
